Criteria ID,Name,Canonical Name,Parent ID,Country Code,Target Type,Status
"1012834","Kampala","Kampala,Central Region,Uganda","9069985","UG","City",Active
"1012835","Vinnytsia","Vinnytsia,Vinnytsia Oblast,Ukraine","21109","UA","City",Active
"1012836","Lutsk","Lutsk,Volyn Oblast,Ukraine","21110","UA","City",Active
"1012839","Dnipro","Dnipro,Dnipropetrovsk Oblast,Ukraine","21112","UA","City",Active
"1012840","Kryvyi Rih","Kryvyi Rih,Dnipropetrovsk Oblast,Ukraine","21112","UA","City",Active
"1012841","Nikopol'","Nikopol',Dnipropetrovsk Oblast,Ukraine","21112","UA","City",Active
"1012846","Zhytomyr","Zhytomyr,Zhytomyr Oblast,Ukraine","21114","UA","City",Active
"1012847","Uzhhorod","Uzhhorod,Zakarpattia Oblast,Ukraine","21115","UA","City",Active
"1012848","Melitopol'","Melitopol',Zaporizhia Oblast,Ukraine","21116","UA","City",Active
"1012849","Zaporizhzhia","Zaporizhzhia,Zaporizhia Oblast,Ukraine","21116","UA","City",Active
"1012850","Ivano-Frankivsk","Ivano-Frankivsk,Ivano-Frankivsk Oblast,Ukraine","21117","UA","City",Active
"1012851","Bila Tserkva","Bila Tserkva,Kyiv Oblast,Ukraine","21580","UA","City",Active
"1012852","Kyiv","Kyiv,Kyiv city,Ukraine","21118","UA","City",Active
"1012853","Kropyvnytskyi","Kropyvnytskyi,Kirovohrad Oblast,Ukraine","21119","UA","City",Active
"1012854","Rivne","Rivne,Kirovohrad Oblast,Ukraine","21119","UA","City",Active
"1012859","Lviv","Lviv,Lviv Oblast,Ukraine","21121","UA","City",Active
"1012860","Mykolaiv","Mykolaiv,Pustomytivs'kyi district,L'vivs'ka,Ukraine","21121","UA","City",Active
"1012861","Odesa","Odesa,Odesa Oblast,Ukraine","21122","UA","City",Active
"1012862","Kremenchuk","Kremenchuk,Poltava Oblast,Ukraine","21123","UA","City",Active
"1012863","Poltava","Poltava,Poltava Oblast,Ukraine","21123","UA","City",Active
"1012864","Sumy","Sumy,Sumy Oblast,Ukraine","21124","UA","City",Active
"1012865","Ternopil","Ternopil,Ternopil Oblast,Ukraine","21292","UA","City",Active
"1012866","Kharkiv","Kharkiv,Kharkiv Oblast,Ukraine","21125","UA","City",Active
"1012867","Kherson","Kherson,Kherson Oblast,Ukraine","21126","UA","City",Active
"1012868","Khmelnytskyi","Khmelnytskyi,Khmelnytskyi Oblast,Ukraine","21127","UA","City",Active
"1012869","Cherkasy","Cherkasy,Cherkasy Oblast,Ukraine","21128","UA","City",Active
"1012870","Chernihiv","Chernihiv,Chernihiv Oblast,Ukraine","21129","UA","City",Active
"1012871","Chernivtsi","Chernivtsi,Chernivtsi Oblast,Ukraine","21130","UA","City",Active
"1012872","Montevideo","Montevideo,Uruguay","2858","UY","City",Active
"1012873","Anchorage","Anchorage,Alaska,United States","21132","US","City",Active
"1012874","Anderson","Anderson,Alaska,United States","21132","US","City",Active
"1030199","Antonivka","Antonivka,Kherson Oblast,Ukraine","21126","UA","City",Active
"1030201","Apostolove","Apostolove,Dnipropetrovsk Oblast,Ukraine","21112","UA","City",Active
"1030204","Artsyz","Artsyz,Odesa Oblast,Ukraine","21122","UA","City",Active
"1030207","Bakhmach","Bakhmach,Chernihiv Oblast,Ukraine","21129","UA","City",Active
"1030209","Balakliya","Balakliya,Kharkiv Oblast,Ukraine","21125","UA","City",Active
"1030210","Balta","Balta,Odesa Oblast,Ukraine","21122","UA","City",Active
"1030211","Bar","Bar,Vinnytsia Oblast,Ukraine","21109","UA","City",Active
"1030212","Baranivka","Baranivka,Zhytomyr Oblast,Ukraine","21114","UA","City",Active
"1030213","Barvinkove","Barvinkove,Kharkiv Oblast,Ukraine","21125","UA","City",Active
"1030214","Baryshivka","Baryshivka,Kyiv Oblast,Ukraine","21580","UA","City",Active
"1030215","Bashtanka","Bashtanka,Mykolaiv Oblast,Ukraine","21581","UA","City",Active
"1030216","Berdyans'k","Berdyans'k,Zaporizhia Oblast,Ukraine","21116","UA","City",Active
"1030217","Berdychiv","Berdychiv,Zhytomyr Oblast,Ukraine","21114","UA","City",Active
"1030218","Berehove","Berehove,Zakarpattia Oblast,Ukraine","21115","UA","City",Active
"1030219","Berezan'","Berezan',Kyiv Oblast,Ukraine","21580","UA","City",Active
"1030220","Berezhany","Berezhany,Ternopil Oblast,Ukraine","21292","UA","City",Active
"1030221","Berezne","Berezne,Rivne Oblast,Ukraine","21582","UA","City",Active
"1030222","Bershad'","Bershad',Vinnytsia Oblast,Ukraine","21109","UA","City",Active
"1030223","Beryslav","Beryslav,Kherson Oblast,Ukraine","21126","UA","City",Active
"1030224","Bilhorod-Dnistrovs'kyi","Bilhorod-Dnistrovs'kyi,Odesa Oblast,Ukraine","21122","UA","City",Active
"1030225","Bilyaivka","Bilyaivka,Odesa Oblast,Ukraine","21122","UA","City",Active
"1030227","Bilopillya","Bilopillya,Sumy Oblast,Ukraine","21124","UA","City",Active
"1030229","Bobrovytsya","Bobrovytsya,Chernihiv Oblast,Ukraine","21129","UA","City",Active
"1030230","Bobrynets'","Bobrynets',Kirovohrad Oblast,Ukraine","21119","UA","City",Active
"1030231","Bohodukhiv","Bohodukhiv,Kharkiv Oblast,Ukraine","21125","UA","City",Active
"1030232","Bohuslav","Bohuslav,Kyiv Oblast,Ukraine","21580","UA","City",Active
"1030233","Bolekhiv","Bolekhiv,Ivano-Frankivsk Oblast,Ukraine","21117","UA","City",Active
"1030234","Bolhrad","Bolhrad,Odesa Oblast,Ukraine","21122","UA","City",Active
"1030235","Borodyanka","Borodyanka,Kyiv Oblast,Ukraine","21580","UA","City",Active
"1030236","Borshchiv","Borshchiv,Ternopil Oblast,Ukraine","21292","UA","City",Active
"1030237","Boryslav","Boryslav,Lviv Oblast,Ukraine","21121","UA","City",Active
"1030238","Boryspil'","Boryspil',Kyiv Oblast,Ukraine","21580","UA","City",Active
"1030239","Borzna","Borzna,Chernihiv Oblast,Ukraine","21129","UA","City",Active
"1030240","Boyarka","Boyarka,Kyiv Oblast,Ukraine","21580","UA","City",Active
"1030242","Brody","Brody,Lviv Oblast,Ukraine","21121","UA","City",Active
"1030243","Brovary","Brovary,Kyiv Oblast,Ukraine","21580","UA","City",Active
"1030244","Bucha","Bucha,Kyiv Oblast,Ukraine","21580","UA","City",Active
"1030245","Buchach","Buchach,Ternopil Oblast,Ukraine","21292","UA","City",Active
"1030246","Burshtyn","Burshtyn,Ivano-Frankivsk Oblast,Ukraine","21117","UA","City",Active
"1030247","Buryn'","Buryn',Sumy Oblast,Ukraine","21124","UA","City",Active
"1030248","Chaplynka","Chaplynka,Kherson Oblast,Ukraine","21126","UA","City",Active
"1030250","Chernyakhiv","Chernyakhiv,Zhytomyr Oblast,Ukraine","21114","UA","City",Active
"1030251","Chervonohrad","Chervonohrad,Lviv Oblast,Ukraine","21121","UA","City",Active
"1030254","Chortkiv","Chortkiv,Ternopil Oblast,Ukraine","21292","UA","City",Active
"1030255","Chuhuiv","Chuhuiv,Kharkiv Oblast,Ukraine","21125","UA","City",Active
"1030256","Chyhyryn","Chyhyryn,Cherkasy Oblast,Ukraine","21128","UA","City",Active
"1030258","Derazhnya","Derazhnya,Khmelnytskyi Oblast,Ukraine","21127","UA","City",Active
"1030259","Derhachi","Derhachi,Kharkiv Oblast,Ukraine","21125","UA","City",Active
"1030260","Kamianske","Kamianske,Dnipropetrovsk Oblast,Ukraine","21112","UA","City",Active
"1030261","Dniprorudne","Dniprorudne,Zaporizhia Oblast,Ukraine","21116","UA","City",Active
"1030264","Dolyna","Dolyna,Ivano-Frankivsk Oblast,Ukraine","21117","UA","City",Active
"1030265","Dolyns'ka","Dolyns'ka,Kirovohrad Oblast,Ukraine","21119","UA","City",Active
"1030266","Drohobych","Drohobych,Lviv Oblast,Ukraine","21121","UA","City",Active
"1030268","Dubno","Dubno,Rivne Oblast,Ukraine","21582","UA","City",Active
"1030269","Dunaivtsi","Dunaivtsi,Khmelnytskyi Oblast,Ukraine","21127","UA","City",Active
"1030273","Enerhodar","Enerhodar,Zaporizhia Oblast,Ukraine","21116","UA","City",Active
"1030274","Fastiv","Fastiv,Kyiv Oblast,Ukraine","21580","UA","City",Active
"1030276","Hadyach","Hadyach,Poltava Oblast,Ukraine","21123","UA","City",Active
"1030277","Haisyn","Haisyn,Vinnytsia Oblast,Ukraine","21109","UA","City",Active
"1030278","Haivoron","Haivoron,Kirovohrad Oblast,Ukraine","21119","UA","City",Active
"1030280","Heniches'k","Heniches'k,Kherson Oblast,Ukraine","21126","UA","City",Active
"1030283","Hlobyne","Hlobyne,Poltava Oblast,Ukraine","21123","UA","City",Active
"1030284","Hlukhiv","Hlukhiv,Sumy Oblast,Ukraine","21124","UA","City",Active
"1030285","Hnivan'","Hnivan',Vinnytsia Oblast,Ukraine","21109","UA","City",Active
"1030286","Hola Prystan'","Hola Prystan',Kherson Oblast,Ukraine","21126","UA","City",Active
"1030287","Horodnya","Horodnya,Chernihiv Oblast,Ukraine","21129","UA","City",Active
"1030288","Horodok","Horodok,Khmelnytskyi Oblast,Ukraine","21127","UA","City",Active
"1030289","Horodok","Horodok,Lviv Oblast,Ukraine","21121","UA","City",Active
"1030290","Horodyshche","Horodyshche,Cherkasy Oblast,Ukraine","21128","UA","City",Active
"1030291","Hostomel'","Hostomel',Kyiv Oblast,Ukraine","21580","UA","City",Active
"1030292","Hrebinka","Hrebinka,Poltava Oblast,Ukraine","21123","UA","City",Active
"1030294","Hulyaipole","Hulyaipole,Zaporizhia Oblast,Ukraine","21116","UA","City",Active
"1030296","Ichnya","Ichnya,Chernihiv Oblast,Ukraine","21129","UA","City",Active
"1030297","Chornomorsk","Chornomorsk,Odesa Oblast,Ukraine","21122","UA","City",Active
"1030298","Illintsi","Illintsi,Vinnytsia Oblast,Ukraine","21109","UA","City",Active
"1030301","Irpin","Irpin,Kyiv Oblast,Ukraine","21580","UA","City",Active
"1030302","Irshava","Irshava,Zakarpattia Oblast,Ukraine","21115","UA","City",Active
"1030303","Ivankiv","Ivankiv,Kyiv Oblast,Ukraine","21580","UA","City",Active
"1030304","Izyum","Izyum,Kharkiv Oblast,Ukraine","21125","UA","City",Active
"1030305","Izmail","Izmail,Odesa Oblast,Ukraine","21122","UA","City",Active
"1030306","Izyaslav","Izyaslav,Khmelnytskyi Oblast,Ukraine","21127","UA","City",Active
"1030307","Kaharlyk","Kaharlyk,Kyiv Oblast,Ukraine","21580","UA","City",Active
"1030308","Kakhovka","Kakhovka,Kherson Oblast,Ukraine","21126","UA","City",Active
"1030309","Kalanchak","Kalanchak,Kherson Oblast,Ukraine","21126","UA","City",Active
"1030310","Kalush","Kalush,Ivano-Frankivsk Oblast,Ukraine","21117","UA","City",Active
"1030311","Kalynivka","Kalynivka,Vinnytsia Oblast,Ukraine","21109","UA","City",Active
"1030312","Kam'yanets'-Podil's'kyi","Kam'yanets'-Podil's'kyi,Khmelnytskyi Oblast,Ukraine","21127","UA","City",Active
"1030313","Kam'yanka","Kam'yanka,Cherkasy Oblast,Ukraine","21128","UA","City",Active
"1030314","Kamianka-Buzka","Kamianka-Buzka,Lviv Oblast,Ukraine","21121","UA","City",Active
"1030315","Kam'yanka-Dniprovs'ka","Kam'yanka-Dniprovs'ka,Zaporizhia Oblast,Ukraine","21116","UA","City",Active
"1030316","Kamin'-Kashyrs'kyi","Kamin'-Kashyrs'kyi,Volyn Oblast,Ukraine","21110","UA","City",Active
"1030317","Kaniv","Kaniv,Cherkasy Oblast,Ukraine","21128","UA","City",Active
"1030318","Karlivka","Karlivka,Poltava Oblast,Ukraine","21123","UA","City",Active
"1030321","Khmil'nyk","Khmil'nyk,Vinnytsia Oblast,Ukraine","21109","UA","City",Active
"1030322","Khodoriv","Khodoriv,Lviv Oblast,Ukraine","21121","UA","City",Active
"1030323","Khorol","Khorol,Poltava Oblast,Ukraine","21123","UA","City",Active
"1030324","Khotyn","Khotyn,Chernivtsi Oblast,Ukraine","21130","UA","City",Active
"1030325","Khust","Khust,Zakarpattia Oblast,Ukraine","21115","UA","City",Active
"1030326","Kiliya","Kiliya,Odesa Oblast,Ukraine","21122","UA","City",Active
"1030330","Kivertsi","Kivertsi,Volyn Oblast,Ukraine","21110","UA","City",Active
"1030331","Kivsharivka","Kivsharivka,Kharkiv Oblast,Ukraine","21125","UA","City",Active
"1030332","Kobelyaky","Kobelyaky,Poltava Oblast,Ukraine","21123","UA","City",Active
"1030333","Kolomyya","Kolomyya,Ivano-Frankivsk Oblast,Ukraine","21117","UA","City",Active
"1030335","Horishni Plavni","Horishni Plavni,Poltava Oblast,Ukraine","21123","UA","City",Active
"1030336","Slobozhanske","Slobozhanske,Kharkiv Oblast,Ukraine","21125","UA","City",Active
"1030338","Konotop","Konotop,Sumy Oblast,Ukraine","21124","UA","City",Active
"1030340","Koryukivka","Koryukivka,Chernihiv Oblast,Ukraine","21129","UA","City",Active
"1030341","Korosten'","Korosten',Zhytomyr Oblast,Ukraine","21114","UA","City",Active
"1030342","Korostyshiv","Korostyshiv,Zhytomyr Oblast,Ukraine","21114","UA","City",Active
"1030343","Korsun'-Shevchenkivs'kyi","Korsun'-Shevchenkivs'kyi,Cherkasy Oblast,Ukraine","21128","UA","City",Active
"1030344","Kostyantynivka","Kostyantynivka,Zaporizhia Oblast,Ukraine","21116","UA","City",Active
"1030345","Kostopil'","Kostopil',Rivne Oblast,Ukraine","21582","UA","City",Active
"1030346","Kotel'va","Kotel'va,Poltava Oblast,Ukraine","21123","UA","City",Active
"1030347","Podilsk","Podilsk,Odesa Oblast,Ukraine","21122","UA","City",Active
"1030348","Kotsyubyns'ke","Kotsyubyns'ke,Kyiv Oblast,Ukraine","21580","UA","City",Active
"1030349","Kovel'","Kovel',Volyn Oblast,Ukraine","21110","UA","City",Active
"1030350","Kozyatyn","Kozyatyn,Vinnytsia Oblast,Ukraine","21109","UA","City",Active
"1030355","Krasnohrad","Krasnohrad,Kharkiv Oblast,Ukraine","21125","UA","City",Active
"1030360","Krasyliv","Krasyliv,Khmelnytskyi Oblast,Ukraine","21127","UA","City",Active
"1030361","Kremenets'","Kremenets',Ternopil Oblast,Ukraine","21292","UA","City",Active
"1030363","Krolevets'","Krolevets',Sumy Oblast,Ukraine","21124","UA","City",Active
"1030364","Kup'yans'k","Kup'yans'k,Kharkiv Oblast,Ukraine","21125","UA","City",Active
"1030366","Varash","Varash,Rivne Oblast,Ukraine","21582","UA","City",Active
"1030367","Ladyzhyn","Ladyzhyn,Vinnytsia Oblast,Ukraine","21109","UA","City",Active
"1030368","Lebedyn","Lebedyn,Sumy Oblast,Ukraine","21124","UA","City",Active
"1030369","Letychiv","Letychiv,Khmelnytskyi Oblast,Ukraine","21127","UA","City",Active
"1030370","Lyuboml'","Lyuboml',Volyn Oblast,Ukraine","21110","UA","City",Active
"1030371","Lyubotyn","Lyubotyn,Kharkiv Oblast,Ukraine","21125","UA","City",Active
"1030372","Lokhvytsya","Lokhvytsya,Poltava Oblast,Ukraine","21123","UA","City",Active
"1030373","Lozova","Lozova,Kharkiv Oblast,Ukraine","21125","UA","City",Active
"1030374","Lubny","Lubny,Poltava Oblast,Ukraine","21123","UA","City",Active
"1030376","Makariv","Makariv,Kyiv Oblast,Ukraine","21580","UA","City",Active
"1030377","Mala Vyska","Mala Vyska,Kirovohrad Oblast,Ukraine","21119","UA","City",Active
"1030378","Malyn","Malyn,Zhytomyr Oblast,Ukraine","21114","UA","City",Active
"1030379","Manevychi","Manevychi,Volyn Oblast,Ukraine","21110","UA","City",Active
"1030380","Marhanets'","Marhanets',Dnipropetrovsk Oblast,Ukraine","21112","UA","City",Active
"1030382","Mena","Mena,Chernihiv Oblast,Ukraine","21129","UA","City",Active
"1030383","Merefa","Merefa,Kharkiv Oblast,Ukraine","21125","UA","City",Active
"1030384","Myrhorod","Myrhorod,Poltava Oblast,Ukraine","21123","UA","City",Active
"1030385","Mohyliv-Podil's'kyi","Mohyliv-Podil's'kyi,Vinnytsia Oblast,Ukraine","21109","UA","City",Active
"1030388","Mukachevo","Mukachevo,Zakarpattia Oblast,Ukraine","21115","UA","City",Active
"1030389","Mykhailivka","Mykhailivka,Zaporizhia Oblast,Ukraine","21116","UA","City",Active
"1030390","Mykolaiv","Mykolaiv,Mykolaiv Oblast,Ukraine","21581","UA","City",Active
"1030391","Mykolaiv","Mykolaiv,Mykolaivs'kyi district,L'vivs'ka,Ukraine","21121","UA","City",Active
"1030393","Myronivka","Myronivka,Kyiv Oblast,Ukraine","21580","UA","City",Active
"1030394","Nadvirna","Nadvirna,Ivano-Frankivsk Oblast,Ukraine","21117","UA","City",Active
"1030395","Nemyriv","Nemyriv,Vinnytsia Oblast,Ukraine","21109","UA","City",Active
"1030396","Netishyn","Netishyn,Khmelnytskyi Oblast,Ukraine","21127","UA","City",Active
"1030397","Nizhyn","Nizhyn,Chernihiv Oblast,Ukraine","21129","UA","City",Active
"1030398","Nosivka","Nosivka,Chernihiv Oblast,Ukraine","21129","UA","City",Active
"1030399","Nova Kakhovka","Nova Kakhovka,Kherson Oblast,Ukraine","21126","UA","City",Active
"1030400","Nova Odesa","Nova Odesa,Mykolaiv Oblast,Ukraine","21581","UA","City",Active
"1030401","Nova Vodolaha","Nova Vodolaha,Kharkiv Oblast,Ukraine","21125","UA","City",Active
"1030402","Novhorod-Sivers'kyi","Novhorod-Sivers'kyi,Chernihiv Oblast,Ukraine","21129","UA","City",Active
"1030405","Novodnistrovs'k","Novodnistrovs'k,Chernivtsi Oblast,Ukraine","21130","UA","City",Active
"1030406","Zviahel","Zviahel,Zhytomyr Oblast,Ukraine","21114","UA","City",Active
"1030408","Novoiavorivsk","Novoiavorivsk,Lviv Oblast,Ukraine","21121","UA","City",Active
"1030409","Novomoskovs'k","Novomoskovs'k,Dnipropetrovsk Oblast,Ukraine","21112","UA","City",Active
"1030410","Novomyrhorod","Novomyrhorod,Kirovohrad Oblast,Ukraine","21119","UA","City",Active
"1030411","Novooleksiivka","Novooleksiivka,Kherson Oblast,Ukraine","21126","UA","City",Active
"1030412","Novotroits'ke","Novotroits'ke,Kherson Oblast,Ukraine","21126","UA","City",Active
"1030413","Novoukrainka","Novoukrainka,Kirovohrad Oblast,Ukraine","21119","UA","City",Active
"1030414","Novovolynsk","Novovolynsk,Volyn Oblast,Ukraine","21110","UA","City",Active
"1030415","Novyi Buh","Novyi Buh,Mykolaiv Oblast,Ukraine","21581","UA","City",Active
"1030416","Novyi Rozdil","Novyi Rozdil,Lviv Oblast,Ukraine","21121","UA","City",Active
"1030418","Obukhiv","Obukhiv,Kyiv Oblast,Ukraine","21580","UA","City",Active
"1030419","Ochakiv","Ochakiv,Mykolaiv Oblast,Ukraine","21581","UA","City",Active
"1030420","Okhtyrka","Okhtyrka,Sumy Oblast,Ukraine","21124","UA","City",Active
"1030422","Oleksandriya","Oleksandriya,Kirovohrad Oblast,Ukraine","21119","UA","City",Active
"1030423","Oleksandrivka","Oleksandrivka,Kirovohrad Oblast,Ukraine","21119","UA","City",Active
"1030424","Olevs'k","Olevs'k,Zhytomyr Oblast,Ukraine","21114","UA","City",Active
"1030425","Oprysheny","Oprysheny,Chernivtsi Oblast,Ukraine","21130","UA","City",Active
"1030426","Pokrov","Pokrov,Dnipropetrovsk Oblast,Ukraine","21112","UA","City",Active
"1030427","Orikhiv","Orikhiv,Zaporizhia Oblast,Ukraine","21116","UA","City",Active
"1030428","Ostroh","Ostroh,Rivne Oblast,Ukraine","21582","UA","City",Active
"1030429","Ovidiopol'","Ovidiopol',Odesa Oblast,Ukraine","21122","UA","City",Active
"1030430","Ovruch","Ovruch,Zhytomyr Oblast,Ukraine","21114","UA","City",Active
"1030431","Pavlohrad","Pavlohrad,Dnipropetrovsk Oblast,Ukraine","21112","UA","City",Active
"1030433","Perehins'ke","Perehins'ke,Ivano-Frankivsk Oblast,Ukraine","21117","UA","City",Active
"1030434","Pereiaslav","Pereiaslav,Kyiv Oblast,Ukraine","21580","UA","City",Active
"1030435","Pereshchepyne","Pereshchepyne,Dnipropetrovsk Oblast,Ukraine","21112","UA","City",Active
"1030437","Pershotravens'k","Pershotravens'k,Dnipropetrovsk Oblast,Ukraine","21112","UA","City",Active
"1030439","Pervomais'kyi","Pervomais'kyi,Kharkiv Oblast,Ukraine","21125","UA","City",Active
"1030440","Pervomais'k","Pervomais'k,Mykolaiv Oblast,Ukraine","21581","UA","City",Active
"1030442","P'yatykhatky","P'yatykhatky,Dnipropetrovsk Oblast,Ukraine","21112","UA","City",Active
"1030443","Pidhorodne","Pidhorodne,Dnipropetrovsk Oblast,Ukraine","21112","UA","City",Active
"1030444","Pisochyn","Pisochyn,Kharkiv Oblast,Ukraine","21125","UA","City",Active
"1030445","Pohrebyshche","Pohrebyshche,Vinnytsia Oblast,Ukraine","21109","UA","City",Active
"1030446","Pokotylivka","Pokotylivka,Kharkiv Oblast,Ukraine","21125","UA","City",Active
"1030447","Pokrovs'ke","Pokrovs'ke,Dnipropetrovsk Oblast,Ukraine","21112","UA","City",Active
"1030448","Polohy","Polohy,Zaporizhia Oblast,Ukraine","21116","UA","City",Active
"1030449","Polonne","Polonne,Khmelnytskyi Oblast,Ukraine","21127","UA","City",Active
"1030451","Pryluky","Pryluky,Chernihiv Oblast,Ukraine","21129","UA","City",Active
"1030453","Prymors'k","Prymors'k,Zaporizhia Oblast,Ukraine","21116","UA","City",Active
"1030454","Putyvl'","Putyvl',Sumy Oblast,Ukraine","21124","UA","City",Active
"1030455","Pyryatyn","Pyryatyn,Poltava Oblast,Ukraine","21123","UA","City",Active
"1030456","Radomyshl'","Radomyshl',Zhytomyr Oblast,Ukraine","21114","UA","City",Active
"1030457","Radyvyliv","Radyvyliv,Rivne Oblast,Ukraine","21582","UA","City",Active
"1030458","Rakhiv","Rakhiv,Zakarpattia Oblast,Ukraine","21115","UA","City",Active
"1030459","Reni","Reni,Odesa Oblast,Ukraine","21122","UA","City",Active
"1030460","Rivne","Rivne,Rivne Oblast,Ukraine","21582","UA","City",Active
"1030461","Rokytne","Rokytne,Kyiv Oblast,Ukraine","21580","UA","City",Active
"1030462","Romny","Romny,Sumy Oblast,Ukraine","21124","UA","City",Active
"1030464","Rozdil'na","Rozdil'na,Odesa Oblast,Ukraine","21122","UA","City",Active
